epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.4885496199131012,0.4927818775177002,0.6931774616241455,0.4842342436313629,0.510083019733429,0.5,0.5937500596046448,0.6929579973220825,0.0,0.0
1,0.508514404296875,0.5087324380874634,0.6929199695587158,0.5384615659713745,0.033293697983026505,0.5062500238418579,0.5512579679489136,0.6922705769538879,0.0,0.0
2,0.500880777835846,0.5077748894691467,0.6929135322570801,0.41304346919059753,0.022565320134162903,0.5062500238418579,0.6644441485404968,0.6918789744377136,0.0,0.0
3,0.5046296119689941,0.5274029970169067,0.6925402879714966,0.0,0.0,0.5062500238418579,0.6703304052352905,0.6912829875946045,0.0,0.0
4,0.5055783987045288,0.5556973814964294,0.6919702291488647,0.5,0.0011876485077664256,0.5062500238418579,0.6891007423400879,0.6905015110969543,0.0,0.0
5,0.510863184928894,0.5832237005233765,0.690836489200592,0.6875,0.026035502552986145,0.5041666626930237,0.720892071723938,0.6887034773826599,0.0,0.0
6,0.520258367061615,0.5725466012954712,0.6885154843330383,0.5486111044883728,0.18698224425315857,0.5291666388511658,0.7489885091781616,0.6830011010169983,0.9230769276618958,0.050632912665605545
7,0.560775101184845,0.6202399730682373,0.6813802123069763,0.6189258098602295,0.2877526879310608,0.6937500238418579,0.7647666335105896,0.670158326625824,0.633431077003479,0.9075630307197571
8,0.6048150062561035,0.6558144092559814,0.66209477186203,0.616457462310791,0.526190459728241,0.5541666746139526,0.7735226154327393,0.6798301339149475,0.5213482975959778,0.995708167552948
9,0.6376981735229492,0.6781632900238037,0.6404938697814941,0.6237941980361938,0.6863207817077637,0.699999988079071,0.7762808203697205,0.5883162617683411,0.6537216901779175,0.8451882600784302
10,0.6459189653396606,0.6968268156051636,0.6192697286605835,0.6169590353965759,0.7508896589279175,0.6145833134651184,0.7807289958000183,0.6535603404045105,0.5611510872840881,0.991525411605835
11,0.6682325601577759,0.7008724808692932,0.6069884896278381,0.6291208863258362,0.8110979795455933,0.6854166388511658,0.7619705200195312,0.5769031047821045,0.6679245233535767,0.737500011920929
12,0.6564885377883911,0.7013228535652161,0.6077932715415955,0.6212962865829468,0.7922077775001526,0.6020833253860474,0.769807755947113,0.6551827788352966,0.5542452931404114,0.9915611743927002
13,0.6459189653396606,0.6886410117149353,0.6171583533287048,0.6104491353034973,0.7890995144844055,0.6520833373069763,0.7866761088371277,0.6010210514068604,0.5868421196937561,0.9570815563201904
14,0.6629477143287659,0.7088826298713684,0.6116002202033997,0.6214285492897034,0.8226950168609619,0.6312500238418579,0.7885172963142395,0.6238318681716919,0.5738916397094727,0.9831223487854004
15,0.6641221642494202,0.7087859511375427,0.6081973910331726,0.6248864531517029,0.8122786283493042,0.7020833492279053,0.7787982821464539,0.5661159157752991,0.656050980091095,0.8547717928886414
